word,ranking,gender,definition,type
tamanho,856,M,size,
vestir,2128,,to dress,v
comprimento,3361,M,length,
vestuário,3691,M,clothing,
traje,5216,M,attire,
capa,1714,F,cape,
vestido,1938,M,dress,
sapato,2240,M,shoe,
bolso,2412,M,pocket,
chapéu,2435,M,hat,
bota,2585,F,boot,
anel,2661,M,ring,
calças,2707,F,pants,
camisa,2789,F,shirt,
uniforme,3074,M,uniform,
botão,3181,M,button,
saia,3509,F,skirt,
camisola,3851,F,nightgown,
casaco,4152,M,coat,
luva,4388,F,glove,
terno,4613,M,suit,
manto,4661,M,robe,
gravata,4855,F,tie,
colete,4938,M,vest,
cinto,5088,M,belt,
blusa,5730,F,blouse,
cinta,6063,F,girdle,
boné,6638,M,cap,